Pd2,Qd2,Pd3,Qd3,Pd4,Qd4,PdT,QdT
780.5283148,420.5684175,655.08,345.12385,833.3558096,463.4773543,2268.964124,1229.169622
769.885871,414.8339994,645.52,340.0872376,821.1941171,456.7135338,2236.599988,1211.634771
758.6645496,408.7876673,635.44,334.7766673,808.3709099,449.5818068,2202.475459,1193.146141
741.6099221,399.5982022,620.12,326.7054434,788.8816704,438.7427138,2150.611593,1165.046359
728.3847933,392.472168,608.24,320.4465569,773.7686048,430.3374641,2110.393398,1143.256189
721.3937319,388.7052071,601.96,317.1379873,765.7795432,425.8942849,2089.133275,1131.737479
726.3809859,391.3924658,606.44,319.4982408,771.4787464,429.0639414,2104.299732,1139.954648
767.5258312,413.5623502,643.4,338.970332,818.4971727,455.2136071,2229.423004,1207.746289
786.3616208,423.7115505,660.32,347.8845036,840.0218419,467.1847203,2286.703463,1238.780774
777.366752,418.8648875,652.24,343.6276179,829.7429219,461.4680185,2259.349674,1223.960524
773.6708406,416.8734368,648.92,341.8785014,825.5194052,459.1190766,2248.110246,1217.871015
760.668357,409.8673695,637.24,335.7249834,810.6607683,450.8553295,2208.569125,1196.447682
728.4293223,392.4961613,608.28,320.4676306,773.8194906,430.3657646,2110.528813,1143.329557
688.7539357,371.1180585,572.64,301.6909713,728.4802937,405.1500155,1989.874229,1077.959045
729.1417872,392.8800554,608.92,320.8048097,774.6336624,430.8185726,2112.69545,1144.503438
707.2334929,381.0753118,589.24,310.4365533,749.597877,416.8947247,2046.07137,1108.40659
697.0808687,375.6048209,580.12,305.6317516,737.9959276,410.4422097,2015.196796,1091.678782
693.9193059,373.9012908,577.28,304.1355195,734.3830399,408.432874,2005.582346,1086.469684
698.3276822,376.2766355,581.24,306.221815,739.4207284,411.2346238,2018.988411,1093.733074
723.0858359,389.6169556,603.48,317.9387876,767.7132014,426.9697041,2094.279037,1134.525447
764.5423846,411.9547936,640.72,337.5583946,815.087828,453.3174733,2220.350213,1202.830662
806.8449854,434.7485059,678.72,357.5784018,863.4292836,480.2029521,2348.994269,1272.52986
814.904744,439.091308,685.96,361.39274,872.639603,485.3253434,2373.504347,1285.809391
819.891998,441.7785667,690.44,363.7529935,878.3388062,488.4949998,2388.670804,1294.02656
816.9085514,440.1710101,687.76,362.3410561,874.9294615,486.598866,2379.598013,1289.110932
808.7597347,435.7802213,680.44,358.4845705,865.6173705,481.4198738,2354.817105,1275.684666
797.0931227,429.4939554,669.96,352.9632633,852.2853059,474.0051418,2319.338429,1256.46236
788.0537248,424.623299,661.84,348.6853039,841.9555001,468.2601394,2291.849225,1241.568742
781.6860702,421.1922455,656.12,345.671766,834.6788389,464.2131674,2272.484909,1231.077179
770.9100393,415.3858472,646.44,340.5719326,822.3644892,457.3644454,2239.714528,1213.322225
780.661902,420.6403977,655.2,345.187071,833.5084668,463.5622558,2269.370369,1229.389725
822.9645027,443.43411,693.2,365.2070782,881.8499225,490.4477346,2398.014425,1299.088923
841.1323565,453.2234096,709.52,373.8051445,902.6113055,501.9943402,2453.263662,1329.022894
829.1095121,446.7451966,698.72,368.1152477,888.872155,494.3532041,2416.701667,1309.213648
812.4111171,437.7476786,683.72,360.2126133,869.7900014,483.7405151,2365.921119,1281.700807
796.514245,429.1820415,669.44,352.6893053,851.6237913,473.6372352,2317.578036,1255.508582
763.0283968,411.1390187,639.36,336.8418891,813.3577127,452.3552562,2215.74611,1200.336164
714.7589029,385.1301933,596,313.9980072,758.1975675,421.6775098,2068.95647,1120.80571
834.0967661,449.4324553,703.2,370.4755012,894.5713582,497.5228606,2431.868124,1317.430817
815.3055055,439.3072484,686.32,361.5824032,873.0975747,485.5800479,2374.72308,1286.4697
808.3589732,435.5642809,680.08,358.2949073,865.1593989,481.1651693,2353.598372,1275.024357
804.841178,433.6688038,676.92,356.6300857,861.1394252,478.9294295,2342.900603,1269.228319
816.7749643,440.09903,687.64,362.2778351,874.7768042,486.5139645,2379.191769,1288.89083
848.7022956,457.3022844,716.32,377.3876721,911.2618818,506.8054259,2476.284177,1341.495382
894.8343949,482.1594275,757.76,399.2200167,963.9795113,536.1247481,2616.573906,1417.504192
930.8138701,501.5460797,790.08,416.2475597,1005.095192,558.9915553,2725.989062,1476.785195
936.602647,504.6652193,795.28,418.9871396,1011.710338,562.6706208,2743.592985,1486.32298
921.551827,496.5554564,781.76,411.8642318,994.510957,553.1050505,2697.822784,1461.524739
911.0874994,490.9170117,772.36,406.9119142,982.5528075,546.454432,2666.000307,1444.283358
886.4629329,477.6486718,750.24,395.2581627,954.4129917,530.8042533,2591.115925,1403.711088
861.7493082,464.3323452,728.04,383.5622637,926.1714045,515.0974736,2515.960713,1362.992083
837.9262647,451.4958861,706.64,372.2878387,898.9475321,499.9567039,2443.513797,1323.740429
817.3093129,440.3869506,688.12,362.5307194,875.3874332,486.8535706,2380.816746,1289.771241
805.3755266,433.9567244,677.4,356.88297,861.7500541,479.2690355,2344.525581,1270.10873
817.4874291,440.4829241,688.28,362.6150141,875.5909761,486.9667726,2381.358405,1290.064711
868.3396081,467.8833656,733.96,386.6811701,933.7024944,519.2859482,2536.002103,1373.850484
889.090147,479.0642813,752.6,396.5015105,957.4152505,532.4739831,2599.105398,1408.039775
879.4718715,473.881711,743.96,391.9495931,946.4239301,526.3610742,2569.855802,1392.192378
874.1729141,471.0264986,739.2,389.4418237,940.3685267,522.9933142,2553.741441,1383.461637
858.8103907,462.748782,725.4,382.1714001,922.8129454,513.2296403,2507.023336,1358.149822
813.2571691,438.2035529,684.48,360.6130134,870.7568306,484.2782247,2368.494,1283.094791
765.8337272,412.6506017,641.88,338.1695317,816.5635145,454.1381879,2224.277242,1204.958321
795.712722,428.7501606,668.72,352.3099789,850.7078479,473.1278261,2315.14057,1254.187966
770.4202197,415.12192,646,340.3401219,821.804746,457.0531398,2238.224966,1212.515182
767.7484765,413.6823171,643.6,339.0757004,818.7516014,455.3551096,2230.100078,1208.113127
773.6708406,416.8734368,648.92,341.8785014,825.5194052,459.1190766,2248.110246,1217.871015
