fbus,tbus,type,value,Sigma
1,0,V_i,1.0015769661827592,0.01
1,0,P_i,2.4149833911186582,0.01
1,0,Q_i,1.5881118008306723,0.01
2,0,V_i,0.9188540340124071,0.01
2,0,P_i,-0.8161689068557324,0.01
2,0,Q_i,-0.44003534538837963,0.01
3,0,V_i,0.8962847578090763,0.01
3,0,P_i,-0.6872531281851751,0.01
3,0,Q_i,-0.35557337926067917,0.01
4,0,V_i,0.9166284875710362,0.01
4,0,P_i,-0.8768680849233144,0.01
4,0,Q_i,-0.4755454035912982,0.01
5,0,V_i,0.9331013365067302,0.01
5,0,P_i,0.0011274453197285973,0.01
5,0,Q_i,0.0036891243439677885,0.01
1,2,PL_i,1.067032482299524,0.01
2,1,PL_i,-1.0580815576850213,0.01
1,2,QL_i,0.6759953485078146,0.01
2,1,QL_i,-0.5116058067012245,0.01
2,3,PL_i,0.23198202018571568,0.01
3,2,PL_i,-0.22523810607000372,0.01
2,3,QL_i,0.09241131133187237,0.01
3,2,QL_i,-0.0758680215888107,0.01
2,5,PL_i,0.008932707344394546,0.01
5,2,PL_i,0.0028243239031922308,0.01
2,5,QL_i,0.013279908651613128,0.01
5,2,QL_i,0.0009872353445417722,0.01
1,4,PL_i,1.3406408332762583,0.01
4,1,PL_i,-1.32626837299686,0.01
1,4,QL_i,0.9311106523148592,0.01
4,1,QL_i,-0.728843125921895,0.01
5,4,PL_i,0.001608209867728673,0.01
4,5,PL_i,-0.013264200806618928,0.01
5,4,QL_i,0.004300320833214619,0.01
4,5,QL_i,0.011628448607137305,0.01
4,3,PL_i,0.45785361018652865,0.01
3,4,PL_i,-0.43766472862136346,0.01
4,3,QL_i,0.23134859051523146,0.01
3,4,QL_i,-0.24524471780919738,0.01
